timestamp,step,loss,l1,ssim,pts_M,fru_M,fru_pct,alloc_gb,rsv_gb,peak_gb,sh,elapsed
2026-03-12 12:10:51,63,0.3009,0.1547,0.6848,0.05,0.02,44.9,0.09,0.21,0.24,0,2.1
2026-03-12 12:10:52,64,0.3019,0.193,0.7447,0.05,0.02,42.6,0.09,0.21,0.24,0,2.2
2026-03-12 12:10:52,65,0.2978,0.1853,0.7172,0.05,0.02,35.9,0.09,0.19,0.24,0,2.2
2026-03-12 12:10:52,66,0.3486,0.3325,0.7933,0.05,0.02,43.4,0.09,0.19,0.24,0,2.2
2026-03-12 12:10:52,67,0.3518,0.2479,0.7922,0.05,0.0,3.5,0.08,0.28,0.24,0,2.2
2026-03-12 12:10:52,68,0.3406,0.2174,0.7493,0.05,0.02,33.4,0.09,0.19,0.24,0,2.2
2026-03-12 12:10:52,69,0.3273,0.2027,0.7257,0.05,0.02,45.8,0.09,0.19,0.24,0,2.2
2026-03-12 12:10:52,70,0.4928,0.7058,0.8823,0.05,0.0,2.3,0.08,0.26,0.24,0,2.2
2026-03-12 12:10:52,71,0.3984,0.146,0.7006,0.05,0.03,52.4,0.09,0.19,0.24,0,2.3
2026-03-12 12:10:52,72,0.3401,0.1548,0.6438,0.05,0.01,21.3,0.09,0.24,0.24,0,2.3
2026-03-12 12:10:52,73,0.3148,0.1748,0.6855,0.05,0.02,44.4,0.09,0.21,0.24,0,2.3
2026-03-12 12:10:52,74,0.3248,0.2294,0.7814,0.05,0.03,46.8,0.09,0.19,0.24,0,2.3
2026-03-12 12:10:52,75,0.2992,0.1454,0.7226,0.05,0.03,46.6,0.09,0.19,0.24,0,2.3
2026-03-12 12:10:52,76,0.2996,0.1975,0.7113,0.05,0.02,42.6,0.09,0.22,0.24,0,2.3
2026-03-12 12:10:52,77,0.3044,0.2223,0.6685,0.05,0.02,38.3,0.09,0.2,0.24,0,2.4
2026-03-12 12:10:52,78,0.2623,0.0979,0.6047,0.05,0.01,26.6,0.09,0.25,0.24,0,2.4
2026-03-12 12:10:52,79,0.2813,0.1987,0.7532,0.05,0.01,26.8,0.09,0.25,0.24,0,2.4
2026-03-12 12:10:52,80,0.2767,0.1448,0.77,0.05,0.01,27.0,0.09,0.25,0.24,0,2.4
2026-03-12 12:10:52,81,0.2595,0.1211,0.6844,0.05,0.02,34.4,0.09,0.22,0.24,0,2.4
2026-03-12 12:10:52,82,0.2535,0.1379,0.6704,0.05,0.01,26.3,0.09,0.24,0.24,0,2.4
2026-03-12 12:10:52,83,0.3112,0.3089,0.7531,0.05,0.01,12.3,0.09,0.24,0.24,0,2.4
2026-03-12 12:10:52,84,0.2817,0.1244,0.6905,0.05,0.03,50.7,0.09,0.19,0.24,0,2.5
