timestamp,iter,loss,vis_M,pts_M,vis_pct,blk,alloc_gb,rsv_gb,it_s,elapsed
"0323,13:30",13000,0.0937,0.65,4.09,15.8,8,0.29,0.57,18.6,
"0323,13:30",13010,0.1073,1.16,4.09,28.4,8,0.34,1.27,18.6,
"0323,13:30",13020,0.0835,1.2,4.09,29.3,8,0.32,0.79,18.6,
"0323,13:30",13030,0.0999,0.6,4.09,14.8,8,0.28,1.19,18.6,
"0323,13:30",13040,0.0878,1.05,4.09,25.7,8,0.29,0.9,18.6,
"0323,13:30",13050,0.0849,1.3,4.09,31.9,8,0.35,1.12,18.6,
"0323,13:30",13060,0.0955,0.52,4.09,12.7,8,0.31,0.91,18.6,
"0323,13:30",13070,0.0912,0.78,4.09,19.0,8,0.33,1.12,18.6,
"0323,13:30",13080,0.0951,1.34,4.09,32.9,8,0.38,1.34,18.6,
"0323,13:30",13090,0.11,0.89,4.09,21.9,8,0.33,1.13,18.6,
"0323,13:30",13100,0.098,1.13,4.11,27.6,8,0.3,0.71,18.5,
"0323,13:30",13110,0.0997,1.41,4.11,34.2,8,0.38,1.37,18.5,
"0323,13:30",13120,0.0886,0.97,4.11,23.6,8,0.31,1.19,18.5,
"0323,13:30",13130,0.1126,0.79,4.11,19.2,8,0.37,1.36,18.5,
"0323,13:30",13140,0.1165,1.39,4.11,33.7,8,0.37,1.27,18.5,
"0323,13:30",13150,0.0993,0.94,4.11,23.0,8,0.29,1.27,18.5,
"0323,13:30",13160,0.0911,1.18,4.11,28.7,8,0.36,0.74,18.5,
"0323,13:30",13170,0.1024,1.32,4.11,32.1,8,0.34,0.78,18.5,
"0323,13:30",13180,0.0988,0.48,4.11,11.7,8,0.28,1.08,18.5,
"0323,13:30",13190,0.093,0.48,4.11,11.7,8,0.28,1.25,18.5,
"0323,13:30",13200,0.0993,1.13,4.14,27.2,8,0.37,0.6,18.5,
"0323,13:30",13210,0.0882,0.75,4.14,18.1,8,0.34,1.23,18.5,
"0323,13:30",13220,0.1116,0.63,4.14,15.3,8,0.37,1.26,18.5,
"0323,13:30",13230,0.1112,1.32,4.14,31.9,8,0.36,1.27,18.5,
"0323,13:30",13240,0.0941,0.88,4.14,21.2,8,0.37,1.27,18.5,
"0323,13:30",13250,0.0989,0.89,4.14,21.6,8,0.34,1.08,18.5,
"0323,13:30",13260,0.0851,0.98,4.14,23.6,8,0.28,0.57,18.4,
"0323,13:30",13270,0.0984,0.59,4.14,14.3,8,0.36,1.28,18.4,
"0323,13:31",13280,0.1038,1.15,4.14,27.8,8,0.3,0.53,18.4,
"0323,13:31",13290,0.0836,1.07,4.14,25.8,8,0.36,1.15,18.4,
"0323,13:31",13300,0.0871,0.56,4.16,13.5,8,0.32,0.56,18.4,
"0323,13:31",13310,0.0914,1.42,4.16,34.2,8,0.38,1.31,18.4,
"0323,13:31",13320,0.1217,1.09,4.16,26.2,8,0.34,1.3,18.4,
"0323,13:31",13330,0.0958,0.99,4.16,23.8,8,0.32,1.2,18.4,
"0323,13:31",13340,0.0867,1.17,4.16,28.1,8,0.36,0.59,18.4,
"0323,13:31",13350,0.098,0.75,4.16,18.1,8,0.34,1.21,18.4,
"0323,13:31",13360,0.0941,0.5,4.16,12.0,8,0.28,0.95,18.4,
